"index","job_id","job_title","job_title_short","job_schedule_type","job_location","salary","company"
"1",448257,"Analytics Engineer (L5) - Live Quality of Experience","Data Analyst","Full-time","Anywhere","445000.0","Netflix"
"2",448252,"Data Engineer (L5) - Growth Insights and Foundations","Data Engineer","Full-time","Anywhere","445000.0","Netflix"
"3",437637,"Data Engineer (L5) - Content Production & Promotion","Data Engineer","Full-time","Anywhere","445000.0","Netflix"
"4",217345,"Financial & Data Analyst - Pricing (12 months Contract)","Data Analyst","Full-time and Contractor","Anywhere","385000.0","Siemens"
"5",478082,"Trading Data Engineer","Data Engineer","Full-time","Anywhere","375000.0","Selby Jennings"
"6",119839,"Data Scientist","Data Scientist","Full-time","Anywhere","325000.0","Okratin Solutions Pte Ltd"
"7",224191,"Director, Data Science Management","Data Scientist","Full-time","Anywhere","321000.0","ServiceNow"
"8",195299,"Fraud Model Management and Data Science (Executive)","Data Scientist","Full-time","Anywhere","306050.0","USAA"
"9",420010,"Director of Engineering - Analytics","Data Analyst","Full-time","Anywhere","296910.0","Confluent"
"10",419999,"Director of Engineering, Analytics Solutions","Data Scientist","Full-time","Anywhere","296910.0","Confluent"
"11",67053,"VP & Data Scientist, Catastrophe Risk Management","Data Scientist","Full-time","Anywhere","289500.0","The Travelers Indemnity Company"
"12",217029,"Senior Staff Data Engineer","Data Engineer","Full-time","Anywhere","285000.0","Earnin"
"13",288754,"Data Scientist","Data Scientist","Full-time","Anywhere","285000.0","Flipped.ai"
"14",46940,"Head of Growth Data Science (Remote)","Data Scientist","Full-time","Anywhere","283500.0","Atlassian"
"15",83664,"Director, Data Science and Analytics","Data Scientist","Full-time","Anywhere","276500.0","GoFundMe"
"16",203506,"Lead Data Scientist - Search and Browse (NLP, LLMs, Information...","Data Scientist","Full-time","Anywhere","274000.0","Target"
"17",314125,"Data & Applied Scientist Manager","Data Scientist","Full-time","Anywhere","268305.0","Microsoft Legal Department"
"18",309813,"Data Scientist","Data Scientist","Full-time","Anywhere","267000.0","GradBay"
"19",116674,"Director, Data Science and Analytics","Data Scientist","Full-time","Anywhere","265000.0","Circle"
"20",465683,"Data Analyst","Data Analyst","Full-time","Anywhere","264000.0","Edge & Node"
