"index","job_title_short","max_salary","min_salary","skill_id","skills","skill_demand"
"1","Data Scientist","870000.0","22500.0",1,"python","3689"
"2","Data Analyst","385000.0","22500.0",177,"excel","2903"
"3","Data Scientist","850000.0","22500.0",0,"sql","2770"
"4","Data Analyst","445000.0","18000.0",0,"sql","2574"
"5","Data Engineer","445000.0","18000.0",0,"sql","2554"
"6","Data Engineer","410000.0","15000.0",1,"python","2278"
"7","Data Scientist","361000.0","22500.0",2,"r","2041"
"8","Data Analyst","445000.0","18000.0",1,"python","1954"
"9","Data Engineer","400000.0","15000.0",75,"aws","1663"
"10","Data Analyst","275000.0","21000.0",178,"tableau","1478"
"11","Data Engineer","400000.0","18000.0",78,"azure","1205"
"12","Data Analyst","240500.0","25000.0",2,"r","1173"
"13","Data Engineer","445000.0","15000.0",94,"spark","1070"
"14","Data Analyst","232223.0","21000.0",182,"power bi","1017"
"15","Data Scientist","311779.5","22500.0",178,"tableau","948"
"16","Data Engineer","445000.0","15000.0",8,"java","914"
"17","Data Scientist","315775.0","30000.0",94,"spark","902"
"18","Data Scientist","320000.0","22500.0",75,"aws","883"
"19","Data Engineer","301287.5","30000.0",74,"snowflake","815"
"20","Data Scientist","311779.5","22500.0",78,"azure","720"
