"job_title_short","average_salary","average_salary_wfh","skills","job_count"
"Data Scientist","205735","113750","fastapi","10"
"Data Engineer","182635","199136","rust","26"
"Data Engineer","180792","199359","gdpr","33"
"Data Scientist","170776","","php","13"
"Data Scientist","169029","180214","slack","14"
"Data Scientist","161327","191438","atlassian","17"
"Data Scientist","160645","135000","dplyr","17"
"Data Scientist","159758","215000","watson","10"
"Data Scientist","159393","142500","hugging face","34"
"Data Scientist","156051","186125","dynamodb","16"
"Data Scientist","155583","159171","tidyverse","20"
"Data Engineer","155504","151684","mongo","69"
"Data Scientist","152689","155345","scala","339"
"Data Engineer","152043","105000","php","15"
"Data Engineer","151997","130000","perl","24"
"Data Engineer","151330","136936","redis","38"
"Data Engineer","149692","155165","typescript","38"
"Data Engineer","148327","147321","golang","27"
"Data Engineer","147994","151231","looker","91"
"Data Engineer","147671","119075","express","51"
