"rank_no_skills","job_title_short","skills","skill_count","max_salary","min_salary"
"2","Data Analyst","SQL","2574","445000.0","18000.0"
"3","Data Analyst","PYTHON","1954","445000.0","18000.0"
"1","Data Analyst","EXCEL","2903","385000.0","22500.0"
"4","Data Analyst","TABLEAU","1478","275000.0","21000.0"
"5","Data Analyst","R","1173","240500.0","25000.0"
"6","Data Analyst","POWER BI","1017","232223.0","21000.0"
"7","Data Analyst","SAS","864","216831.0","32000.0"
"1","Data Engineer","SQL","2554","445000.0","18000.0"
"5","Data Engineer","SPARK","1070","445000.0","15000.0"
"6","Data Engineer","JAVA","914","445000.0","15000.0"
"2","Data Engineer","PYTHON","2278","410000.0","15000.0"
"4","Data Engineer","AZURE","1205","400000.0","18000.0"
"3","Data Engineer","AWS","1663","400000.0","15000.0"
"7","Data Engineer","SNOWFLAKE","815","301287.5","30000.0"
"1","Data Scientist","PYTHON","3689","870000.0","22500.0"
"2","Data Scientist","SQL","2770","850000.0","22500.0"
"3","Data Scientist","R","2041","361000.0","22500.0"
"6","Data Scientist","AWS","883","320000.0","22500.0"
"5","Data Scientist","SPARK","902","315775.0","30000.0"
"4","Data Scientist","TABLEAU","948","311779.5","22500.0"
"7","Data Scientist","SAS","812","266405.5","40000.0"
